Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
AAPL,2024-01-02,184.2904052734375,2024-01-23,193.76104736328125,0.04928909411534188,21,BB_lower_cross (z=-2.88),BB_upper_cross,2024-01-02,2024-01-23
ADBE,2024-01-02,580.0700073242188,2024-01-19,611.5499877929688,0.05216284584482822,17,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-02,2024-01-19
SBUX,2024-01-02,90.16138458251952,2024-02-06,92.0864715576172,0.01931090598262819,35,BB_lower_cross (z=-2.17),BB_upper_cross,2024-01-02,2024-02-06
PAYX,2024-01-02,111.98245239257812,2024-01-22,116.65670013427734,0.03965949420522752,20,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-02,2024-01-22
UBER,2024-01-02,58.380001068115234,2024-01-18,64.87999725341797,0.10911897404262438,16,BB_lower_cross (z=-1.93),BB_upper_cross,2024-01-02,2024-01-18
SNPS,2024-01-02,498.9700012207031,2024-01-22,541.7100219726562,0.08348734982824779,20,BB_lower_cross (z=-2.01),BB_upper_cross,2024-01-02,2024-01-22
DECK,2024-01-02,112.33000183105467,2024-01-16,120.29666900634766,0.068782284913391,14,BB_lower_cross (z=-1.63),BB_upper_cross,2024-01-02,2024-01-16
CPRT,2024-01-02,47.5099983215332,2024-01-22,49.4900016784668,0.039594239131898856,20,BB_lower_cross (z=-1.69),BB_upper_cross,2024-01-02,2024-01-22
NTAP,2024-01-02,83.28684997558594,2024-01-25,86.71646118164062,0.0390980274113939,23,BB_lower_cross (z=-2.98),BB_upper_cross,2024-01-02,2024-01-25
PARA,2024-01-02,14.017426490783691,2024-02-01,14.28998851776123,0.017407660495174504,30,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-02,2024-02-01
PLTR,2024-01-02,16.579999923706055,2024-02-06,21.8700008392334,0.3164236811999679,35,BB_lower_cross (z=-2.34),BB_upper_cross,2024-01-02,2024-02-06
GDDY,2024-01-02,103.0,2024-02-07,112.37999725341795,0.0888879785861183,36,BB_lower_cross (z=-1.66),BB_upper_cross,2024-01-02,2024-02-07
DASH,2024-01-02,96.45999908447266,2024-01-10,105.58999633789062,0.09246349071551618,8,BB_lower_cross (z=-1.87),BB_upper_cross,2024-01-02,2024-01-10
DAY,2024-01-02,66.0199966430664,2024-01-23,69.68000030517578,0.05332903758407914,21,BB_lower_cross (z=-1.53),BB_upper_cross,2024-01-02,2024-01-23
NKE,2024-01-02,103.5374984741211,2024-02-09,101.54544067382812,-0.021199525060921598,38,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-02,2024-02-09
DDOG,2024-01-03,112.41999816894533,2024-01-18,126.91999816894533,0.1267249050178998,15,BB_lower_cross (z=-1.67),BB_upper_cross,2024-01-03,2024-01-18
CDNS,2024-01-03,257.2799987792969,2024-01-19,292.1400146484375,0.13322574509797036,16,BB_lower_cross (z=-1.79),BB_upper_cross,2024-01-03,2024-01-19
GNRC,2024-01-03,119.72000122070312,2024-02-07,125.8000030517578,0.04868570927311899,35,BB_lower_cross (z=-1.71),BB_upper_cross,2024-01-03,2024-02-07
WST,2024-01-03,336.6391906738281,2024-01-26,359.6179504394531,0.06612492840650197,23,BB_lower_cross (z=-1.85),BB_upper_cross,2024-01-03,2024-01-26
UAL,2024-01-03,39.52999877929688,2024-01-09,43.540000915527344,0.09924131668485758,6,BB_lower_cross (z=-1.86),BB_upper_cross,2024-01-03,2024-01-09
BG,2024-01-03,95.67610931396484,2024-02-16,88.13239288330078,-0.08068686303286798,44,BB_lower_cross (z=-1.68),BB_upper_cross,2024-01-03,2024-02-16
IT,2024-01-03,427.5400085449219,2024-01-18,463.0899963378906,0.08098594836275508,15,BB_lower_cross (z=-2.27),BB_upper_cross,2024-01-03,2024-01-18
CME,2024-01-03,190.6195068359375,2024-02-13,196.3169708251953,0.02783147631303806,41,BB_lower_cross (z=-2.21),BB_upper_cross,2024-01-03,2024-02-13
BALL,2024-01-03,54.74528884887695,2024-02-01,58.23486709594727,0.06161671510348499,29,BB_lower_cross (z=-1.77),BB_upper_cross,2024-01-03,2024-02-01
CSGP,2024-01-03,82.7699966430664,2024-01-29,86.29000091552734,0.040444567041124424,26,BB_lower_cross (z=-1.57),BB_upper_cross,2024-01-03,2024-01-29
MCHP,2024-01-03,81.44502258300781,2024-01-23,88.59082794189453,0.08556447633803099,20,BB_lower_cross (z=-1.51),BB_upper_cross,2024-01-03,2024-01-23
ROP,2024-01-03,525.69970703125,2024-01-19,543.7947387695312,0.0323540769306645,16,BB_lower_cross (z=-1.87),BB_upper_cross,2024-01-03,2024-01-19
NOW,2024-01-03,675.2999877929688,2024-01-11,726.4600219726562,0.07360960536483407,8,BB_lower_cross (z=-2.07),BB_upper_cross,2024-01-03,2024-01-11
LUV,2024-01-03,26.38176155090332,2024-01-23,30.052608489990234,0.1368673490703698,20,BB_lower_cross (z=-2.10),BB_upper_cross,2024-01-03,2024-01-23
NCLH,2024-01-03,17.31999969482422,2024-02-27,19.09000015258789,0.09999183775011722,55,BB_lower_cross (z=-1.86),BB_upper_cross,2024-01-03,2024-02-27
ULTA,2024-01-03,473.8200073242188,2024-01-25,493.2200012207031,0.038863997011401974,22,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-03,2024-01-25
