Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
PLTR,2024-01-02,16.579999923706055,2024-02-06,21.8700008392334,0.3164236811999679,35,BB_lower_cross (z=-2.34),BB_upper_cross,2024-01-02,2024-02-06
EFX,2024-02-07,239.5821685791016,2024-02-08,249.68609619140625,0.04009085630289588,1,BB_lower_cross (z=-1.70),BB_upper_cross,2024-02-07,2024-02-08
NTAP,2024-02-16,83.28629302978516,2024-03-01,102.33203887939452,0.22622313403636096,14,BB_lower_cross (z=-2.16),BB_upper_cross,2024-02-16,2024-03-01
GDDY,2024-03-05,108.95999908447266,2024-03-12,117.54000091552734,0.0765891771705196,7,BB_lower_cross (z=-1.69),BB_upper_cross,2024-03-05,2024-03-12
TTD,2024-03-14,77.52999877929688,2024-03-25,87.55000305175781,0.1269841267438201,11,BB_lower_cross (z=-1.68),BB_upper_cross,2024-03-14,2024-03-25
BXP,2024-03-26,55.99220275878906,2024-03-28,60.85622787475586,0.08469811897760637,2,BB_lower_cross (z=-2.12),BB_upper_cross,2024-03-26,2024-03-28
MCHP,2024-04-04,83.5228042602539,2024-04-09,88.7611312866211,0.060594015652800426,5,BB_lower_cross (z=-1.53),BB_upper_cross,2024-04-04,2024-04-09
PARA,2024-04-10,10.264982223510742,2024-05-02,13.54977798461914,0.31736277829699633,22,BB_lower_cross (z=-1.71),BB_upper_cross,2024-04-10,2024-05-02
PODD,2024-05-13,161.02000427246094,2024-05-15,180.55999755859372,0.11911087778757246,2,BB_lower_cross (z=-1.57),BB_upper_cross,2024-05-13,2024-05-15
DVA,2024-05-23,132.25,2024-05-28,143.6699981689453,0.08418106030662242,5,BB_lower_cross (z=-2.09),BB_upper_cross,2024-05-23,2024-05-28
BA,2024-05-29,171.64999389648438,2024-06-04,188.6199951171875,0.09666844557887111,6,BB_lower_cross (z=-1.59),BB_upper_cross,2024-05-29,2024-06-04
TPL,2024-06-07,571.3328857421875,2024-06-10,709.93798828125,0.24011683633755387,3,BB_lower_cross (z=-2.14),BB_upper_cross,2024-06-07,2024-06-10
TSLA,2024-06-11,170.66000366210938,2024-06-13,182.47000122070312,0.06706563861465886,2,BB_lower_cross (z=-1.86),BB_upper_cross,2024-06-11,2024-06-13
TYL,2024-06-17,467.2699890136719,2024-06-21,489.1400146484375,0.04471231493444794,4,BB_lower_cross (z=-1.73),BB_upper_cross,2024-06-17,2024-06-21
WSM,2024-06-28,138.47113037109375,2024-07-16,159.8569793701172,0.15213607615096847,18,BB_lower_cross (z=-1.67),BB_upper_cross,2024-06-28,2024-07-16
GE,2024-07-17,155.6565399169922,2024-07-23,170.89828491210938,0.0957254342692806,6,BB_lower_cross (z=-1.95),BB_upper_cross,2024-07-17,2024-07-23
NOW,2024-07-24,730.8699951171875,2024-07-25,828.7899780273438,0.13171160332378773,1,BB_lower_cross (z=-1.53),BB_upper_cross,2024-07-24,2024-07-25
GDDY,2024-08-01,141.41000366210938,2024-08-02,151.25,0.06744783458518833,1,BB_lower_cross (z=-1.74),BB_upper_cross,2024-08-01,2024-08-02
AXON,2024-08-05,286.1600036621094,2024-08-07,349.239990234375,0.21799763620234835,2,BB_lower_cross (z=-1.83),BB_upper_cross,2024-08-05,2024-08-07
BAX,2024-08-13,33.72016143798828,2024-08-23,36.68082046508789,0.08562742737255036,10,BB_lower_cross (z=-1.64),BB_upper_cross,2024-08-13,2024-08-23
COR,2024-08-27,232.0013427734375,2024-09-03,242.15573120117188,0.04168321043904766,7,BB_lower_cross (z=-1.69),BB_upper_cross,2024-08-27,2024-09-03
AVGO,2024-09-06,135.456298828125,2024-09-23,171.55374145507812,0.2639572926330198,17,BB_lower_cross (z=-2.72),BB_upper_cross,2024-09-06,2024-09-23
JKHY,2024-09-25,168.6552734375,2024-10-01,177.98536682128906,0.05321196356537761,6,BB_lower_cross (z=-1.78),BB_upper_cross,2024-09-25,2024-10-01
PFE,2024-10-03,26.481822967529297,2024-10-09,28.210525512695312,0.06315040550182305,6,BB_lower_cross (z=-1.90),BB_upper_cross,2024-10-03,2024-10-09
TSLA,2024-10-11,217.8000030517578,2024-10-25,269.19000244140625,0.23348097573186855,14,BB_lower_cross (z=-2.14),BB_upper_cross,2024-10-11,2024-10-25
HWM,2024-10-29,99.87701416015624,2024-11-06,114.61558532714844,0.145274356872942,8,BB_lower_cross (z=-1.59),BB_upper_cross,2024-10-29,2024-11-06
DDOG,2024-11-11,122.36000061035156,2024-11-14,131.42999267578125,0.07197936117631087,3,BB_lower_cross (z=-1.62),BB_upper_cross,2024-11-11,2024-11-14
WBA,2024-11-15,8.229999542236328,2024-12-10,10.420000076293944,0.2635700454117609,25,BB_lower_cross (z=-2.17),BB_upper_cross,2024-11-15,2024-12-10
DRI,2024-12-18,156.42584228515625,2024-12-19,179.4880828857422,0.14513984851029393,1,BB_lower_cross (z=-2.10),BB_upper_cross,2024-12-18,2024-12-19
